participant.ID,experiment,gender,age,comp.context,level,winner.name,athleticism.perception,intelligence.perception
344,2,cisgender_woman,18,academic,highschool,Morgan,2,1
345,2,cisgender_woman,18,academic,highschool,Morgan,2,1
346,2,cisgender_woman,18,academic,highschool,Morgan,1,0.5
347,2,cisgender_woman,18,academic,highschool,Morgan,1,1
348,2,cisgender_man,18,academic,highschool,Morgan,1,2
349,2,cisgender_woman,18,academic,highschool,Morgan,2,2
350,2,cisgender_woman,18,academic,highschool,Morgan,3,3
351,2,cisgender_woman,18,academic,highschool,Morgan,1,2
352,2,cisgender_woman,18,academic,highschool,Morgan,1,1
353,2,cisgender_woman,19,academic,highschool,Morgan,1,1
354,2,cisgender_woman,18,academic,highschool,Morgan,2,1
355,2,cisgender_woman,18,academic,highschool,Morgan,2,1
